Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,PAC,1.0,1.0,53,,,1270.0527884519522,0.53194106275098,0.0034699871769811,0.2669887567075208,0.8940209142352632,0.7043706731343709,0.7473167481304761,0.784427431158195,0.7453716174743473
ELM_corr,PAC,1.0,1.0,270,5.0,0.0,2101.7494982302346,0.8802837739426967,-0.030200553604203,0.4986153405457749,0.7097725213897377,1.315448737941023,1.2366986747981927,1.1768632867130615,1.2430035664840924
ELM_corr,PAC,1.0,1.0,270,5.0,1.0,2006.0651217145555,0.8402079208795696,-0.0567922625979863,0.4785779657123564,0.7355968174279455,1.2625860654700545,1.1803966551067533,1.1326703387026498,1.1918843530931529
ELM_corr,PAC,1.0,1.0,270,5.0,2.0,2062.9408349450887,0.8640293931960444,-0.1230592174947729,0.5000739494031596,0.7203916290332697,1.319296844937683,1.2138631168518996,1.1402826052329138,1.224480855674165
ELM_corr,PAC,1.0,1.0,270,5.0,3.0,2250.914302442779,0.9427590389075312,-0.0585376123807443,0.5318675908495225,0.6671147551465066,1.4031749411659074,1.3244693229422837,1.247997979118807,1.325214081075666
ELM_corr,PAC,1.0,1.0,270,5.0,4.0,1926.601335463651,0.8069257996221965,-0.0213371127315297,0.4465649550761534,0.7561288995333673,1.1781292286768037,1.1336390566233514,1.0903465975406912,1.134038294280282
ELM_corr,PAC,1.0,1.0,540,10.0,0.0,1970.999434030367,0.8255212249072259,0.0105358591717534,0.465920556945717,0.7447594785571499,1.2291932453264656,1.159763516130658,1.102574459771947,1.1638437404096902
ELM_corr,PAC,1.0,1.0,540,10.0,1.0,1914.9572946593148,0.8020488815157262,-0.0509573459980584,0.4498078587611048,0.7590678198322792,1.186684668537447,1.1267875408532066,1.082420753739726,1.13196432104346
ELM_corr,PAC,1.0,1.0,540,10.0,2.0,1861.5557490629683,0.7796825081056181,-0.0109927445403445,0.4331779982151681,0.7723179895191388,1.1428117121953036,1.095365327727053,1.0554563654274325,1.0978778017832629
ELM_corr,PAC,1.0,1.0,540,10.0,3.0,1740.148139155197,0.7288328949024425,0.0058892752743746,0.4140600339862551,0.8010476529475294,1.092374632001586,1.0239273992727889,0.9715912117163628,1.0292977476635792
ELM_corr,PAC,1.0,1.0,540,10.0,4.0,1957.7879229285425,0.8199877972261475,-0.0023702924705109,0.4564309486136553,0.7481697397392809,1.2041577273853177,1.151989679008077,1.098283523153594,1.151476976515663
ELM_corr,PAC,1.0,1.0,1350,25.0,0.0,1560.4430725991124,0.653566335154091,-0.0188497801838072,0.3528504805893738,0.8400174985094208,0.9308913738296098,0.9181864354464302,0.9053699043633062,0.918149237879782
ELM_corr,PAC,1.0,1.0,1350,25.0,1.0,1601.0085747603714,0.6705565394407876,-0.0083821435655505,0.364993734091993,0.83159152626038,0.9629277477547152,0.942055741854066,0.9260752257541875,0.943686238454323
ELM_corr,PAC,1.0,1.0,1350,25.0,2.0,1470.8811992898245,0.6160547935053531,-0.0114616796741891,0.3255515875239823,0.8578549247320554,0.858871338523938,0.8654869819067454,0.8725496066099141,0.8656359756801991
ELM_corr,PAC,1.0,1.0,1350,25.0,3.0,1557.5677281204844,0.6523620436383023,-0.0071577330633203,0.3633159774520319,0.8406065376065343,0.9585014843104476,0.9164945427116864,0.8943427187704627,0.9231129152641988
ELM_corr,PAC,1.0,1.0,1350,25.0,4.0,1457.0646639277863,0.6102679612013373,-0.0089561176287281,0.3266174482119523,0.8605128258476273,0.8616832959243591,0.8573571400835773,0.8547538126694973,0.8579314162258113
ELM_corr,PAC,1.0,1.0,2700,50.0,0.0,1405.0879032436326,0.5884983359006578,-0.0082070794192597,0.3127821093221402,0.870286967165464,0.8251828564038487,0.8267732902420419,0.8344772448075648,0.8288111304844851
ELM_corr,PAC,1.0,1.0,2700,50.0,1.0,1430.1257252274918,0.5989850225613735,-0.0080803010495666,0.3187696443601487,0.8656229626826719,0.8409791923138205,0.841505893386872,0.8456847987211327,0.842723294807275
ELM_corr,PAC,1.0,1.0,2700,50.0,2.0,1350.7099789573476,0.5657230220727215,-0.006941985848112,0.2877202905603421,0.8801326674638581,0.7590646783617767,0.794776562297179,0.8221684269779218,0.7920032225456258
ELM_corr,PAC,1.0,1.0,2700,50.0,3.0,1358.7647163517026,0.5690966185158708,-0.008990036597803,0.2950591324545474,0.8786987864665713,0.7784260367530249,0.7995160819544141,0.8194704729524127,0.799137530553284
ELM_corr,PAC,1.0,1.0,2700,50.0,4.0,1351.2700800845755,0.5659576113682018,0.0052099758574654,0.296800723744437,0.8800332356847284,0.7830207089943297,0.7951061336006949,0.8124597928281929,0.7968622118077392
ELM_corr,PAC,1.0,1.0,5400,100.0,0.0,1275.9603592415758,0.5344153531999143,-0.014553523761272,0.2681059304341796,0.8930327111612747,0.707318004773196,0.7507928450549459,0.7876883983627525,0.7485997493969648
ELM_corr,PAC,1.0,1.0,5400,100.0,1.0,1269.219534342367,0.5315920677480758,-0.004442543483305,0.2628806066090558,0.8941599297804829,0.6935325371548744,0.7468264498080729,0.7879519719393819,0.7427703196341097
ELM_corr,PAC,1.0,1.0,5400,100.0,2.0,1283.2121287307696,0.5374526395268935,-0.0080109237352579,0.2701324151529881,0.891813384210483,0.7126642838565782,0.755059887214242,0.7910289111787258,0.752917694083182
ELM_corr,PAC,1.0,1.0,5400,100.0,3.0,1286.9725265999225,0.5390276213363676,-0.0019879721234189,0.2681823772803118,0.8911783827145932,0.7075196871104346,0.7572725576896775,0.7980396209708432,0.7542772885903184
ELM_corr,PAC,1.0,1.0,5400,100.0,4.0,1270.8289049173452,0.5322661265760222,-0.004643907454475,0.2633149227942991,0.8938913491558957,0.694678351636074,0.7477734258673085,0.79215273153915,0.7448681696808442
ELM_corr,PAC,1.0,1.0,13500,250.0,0.0,1226.149696059306,0.5135529627934465,-0.0035149858018352,0.2447262689036945,0.9012212300706666,0.6456376998309107,0.7214835571497018,0.7816136223980532,0.7162449597928885
ELM_corr,PAC,1.0,1.0,13500,250.0,1.0,1222.0051801053776,0.5118170993386618,-0.0006781940670299,0.2429258932703559,0.9018878669390332,0.6408879425288134,0.7190448662437593,0.7805885169098902,0.713507108560821
ELM_corr,PAC,1.0,1.0,13500,250.0,2.0,1214.416566757006,0.5086387314109323,-0.0032451382334447,0.2446162827155143,0.9031026298306905,0.6453475338840021,0.7145796204666629,0.7703156072068544,0.710080920519173
ELM_corr,PAC,1.0,1.0,13500,250.0,3.0,1222.9068591520884,0.5121947530194606,-0.0036817065851218,0.2454911326263531,0.9017430258302442,0.647655565983137,0.719575426752088,0.7744910012733176,0.7139073313361809
ELM_corr,PAC,1.0,1.0,13500,250.0,4.0,1221.032323955059,0.5114096342795637,0.0033217332363023,0.2444963627519559,0.9020440217564676,0.6450311606160954,0.718472424136419,0.7772234981344975,0.7135756942956707
ELM_corr,PAC,1.0,1.0,27000,500.0,0.0,1203.2429719779825,0.5039588520110002,-0.0015796235975564,0.2364964068271021,0.9048774922081786,0.6239256488734888,0.708004921689484,0.7722124953099682,0.701381021957647
ELM_corr,PAC,1.0,1.0,27000,500.0,1.0,1197.2141085922517,0.5014337601205324,0.0003078027211481,0.2346170035559281,0.905828329074836,0.6189674005804418,0.7044574545122821,0.7689242837846832,0.6974497129591356
ELM_corr,PAC,1.0,1.0,27000,500.0,2.0,1193.6306502415134,0.4999328865657103,6.084994853258333e-05,0.234040594608448,0.906391227926736,0.617446716476197,0.7023488977136322,0.7653719080602425,0.6950558407500239
ELM_corr,PAC,1.0,1.0,27000,500.0,3.0,1190.9334110684686,0.4988031915756683,-0.0030667550301729,0.2347966388950394,0.9068138041689198,0.6194413151612987,0.700761804621079,0.7631423645445903,0.694448494775656
ELM_corr,PAC,1.0,1.0,27000,500.0,4.0,1193.5912702438811,0.4999163928908158,-0.0023483707069062,0.2342391606464269,0.9063974044645332,0.6179705740931154,0.7023257259745993,0.7674971738609121,0.6959311579762089
