Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_3m_none,PAC,1.0,0.5,864,3m,10.0,1.0,none,0.0,0.0,3578.385142899198,1.4494204483548365,1.0187729842403355,1.25050766387484,-0.6017090042892166,3.247485084368944,2.4924612131218686,2.134839891939439,2.6249287298100836
Persistence_P,PAC,1.0,0.5,0,3m,,,none,0.0,0.0,1435.6833815749465,0.5815217668079182,-0.00048072891755390984,0.38506956348895455,0.7421739472804368,1.0,1.0,1.0,1.0
ELM_rolling_3m_none,PAC,1.0,6.0,864,3m,10.0,0.75,none,0.0,0.0,3397.716477672382,1.3762408303709102,0.7849848747914511,1.2150470035616447,-0.44405497045876796,1.0187278494955245,0.8278912375052996,0.7431408986015432,0.8632533285341224
Persistence_P,PAC,1.0,6.0,0,3m,,,none,0.0,0.0,4104.06140776509,1.662344965164703,-0.6555614634166798,1.1927101081641558,-1.1068671597302466,1.0,1.0,1.0,1.0
