Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_3m_none,PAC,1.0,0.5,864,3m,10.0,1.0,none,0.0,0.0,2264.186870542671,2.315988621821793,1.0842131591637814,1.3158567279020574,-0.10930483206398622,3.4073218222911636,2.5065394853486507,2.1368438884737264,2.6835683987045136
Persistence_P,PAC,1.0,0.5,0,3m,,,none,0.0,0.0,903.3118703205789,0.9239785111542527,-6.783457902252716e-18,0.3861850440112652,0.8234361443840976,1.0,1.0,1.0,1.0
ELM_rolling_3m_none,PAC,1.0,6.0,864,3m,10.0,0.75,none,0.0,0.0,2143.1652215247614,2.19219814950428,0.8294392433409467,1.2593322850066628,0.006111477112652475,0.681334745067722,0.6580495441615816,0.6296642713057724,0.6563495201783587
Persistence_P,PAC,1.0,6.0,0,3m,,,none,0.0,0.0,3256.8447779344033,3.331357295137027,-1.1628784975290372e-17,1.8483312264979093,-1.2951997624774032,1.0,1.0,1.0,1.0
