timestamp	T_barani	T_regress	U_barani	U_regress	P_barani	P_regress
2024-12-31T18:20:00Z	11.4	10.492	85.0	84.863	1031.1	1030.814
2024-12-31T18:30:00Z	11.7	10.389	84.8	85.016	1031.2	1030.897
2024-12-31T18:40:00Z	11.9	10.365	84.2	85.144	1031.25	1030.942
2024-12-31T18:50:00Z	12.0	10.572	83.2	85.378	1031.35	1031.091
2024-12-31T19:00:00Z	12.2	10.594	82.4	85.33	1031.45	1031.203
2024-12-31T19:10:00Z	12.2	10.656	82.2	85.56	1031.45	1031.328
2024-12-31T19:20:00Z	12.3	10.73	81.8	85.554	1031.45	1031.349
2024-12-31T19:30:00Z	12.3	11.092	81.4	85.443	1031.4	1031.489
2024-12-31T19:40:00Z	12.3	11.202	81.2	84.925	1031.45	1031.483
2024-12-31T19:50:00Z	12.3	11.297	81.2	84.189	1031.45	1031.622
2024-12-31T20:00:00Z	12.3	11.545	81.2	83.755	1031.45	1031.721
2024-12-31T20:10:00Z	12.3	11.465	81.2	83.835	1031.5	1031.63
2024-12-31T20:20:00Z	12.3	11.685	81.0	83.418	1031.5	1031.581
2024-12-31T20:30:00Z	12.4	11.658	80.8	83.1	1031.55	1031.433
2024-12-31T20:40:00Z	12.3	11.692	81.0	82.964	1031.55	1031.528
2024-12-31T20:50:00Z	12.3	11.697	81.6	82.91	1031.55	1031.467
2024-12-31T21:00:00Z	12.3	11.725	81.6	82.77	1031.55	1031.454
2024-12-31T21:10:00Z	12.2	11.689	81.4	82.718	1031.55	1031.522
2024-12-31T21:20:00Z	12.1	11.667	81.6	82.485	1031.55	1031.468
2024-12-31T21:30:00Z	12.0	11.772	81.8	82.366	1031.6	1031.551
2024-12-31T21:40:00Z	11.8	11.555	82.6	82.701	1031.65	1031.515
2024-12-31T21:50:00Z	11.7	11.621	83.2	83.304	1031.7	1031.513
2024-12-31T22:00:00Z	11.7	11.616	83.6	83.141	1031.8	1031.504
2024-12-31T22:10:00Z	11.6	11.491	84.2	82.96	1031.85	1031.477
2024-12-31T22:20:00Z	11.3	11.467	84.6	83.225	1031.95	1031.478
2024-12-31T22:30:00Z	11.1	11.395	84.8	83.229	1031.95	1031.581
2024-12-31T22:40:00Z	10.9	11.19	85.0	83.908	1031.95	1031.642
2024-12-31T22:50:00Z	10.9	11.163	85.6	84.195	1031.95	1031.701
2024-12-31T23:00:00Z	10.8	11.194	85.8	84.355	1031.95	1031.858
2024-12-31T23:10:00Z	10.8	11.032	86.2	84.879	1031.95	1031.864
2024-12-31T23:20:00Z	10.6	10.671	86.2	85.11	1031.95	1032.001
2024-12-31T23:30:00Z	10.6	10.532	85.8	85.272	1031.9	1031.903
2024-12-31T23:40:00Z	10.6	10.357	85.0	85.493	1031.9	1031.861
2024-12-31T23:50:00Z	10.5	10.449	84.2	86.03	1031.9	1031.814
2025-01-01T00:00:00Z	10.6	10.326	82.6	85.965	1031.85	1031.782
2025-01-01T00:10:00Z	10.6	10.39	82.0	86.3	1031.85	1031.752
