timestamp	T_barani	T_regress	U_barani	U_regress	P_barani	P_regress
2024-12-31T18:10:00Z	11.3	10.651	85.0	84.892	1031.05	1030.856
2024-12-31T18:20:00Z	11.4	10.888	85.0	85.197	1031.1	1030.985
2024-12-31T18:30:00Z	11.7	10.915	84.8	85.13	1031.2	1031.092
2024-12-31T18:40:00Z	11.9	11.015	84.2	85.336	1031.25	1031.213
2024-12-31T18:50:00Z	12.0	11.103	83.2	85.2	1031.35	1031.241
2024-12-31T19:00:00Z	12.2	11.481	82.4	85.003	1031.45	1031.364
2024-12-31T19:10:00Z	12.2	11.587	82.2	84.37	1031.45	1031.376
2024-12-31T19:20:00Z	12.3	11.681	81.8	83.46	1031.45	1031.511
2024-12-31T19:30:00Z	12.3	11.934	81.4	82.868	1031.4	1031.615
2024-12-31T19:40:00Z	12.3	11.839	81.2	82.936	1031.45	1031.559
2024-12-31T19:50:00Z	12.3	12.019	81.2	82.496	1031.45	1031.533
2024-12-31T20:00:00Z	12.3	11.964	81.2	82.257	1031.45	1031.423
2024-12-31T20:10:00Z	12.3	11.989	81.2	82.175	1031.5	1031.509
2024-12-31T20:20:00Z	12.3	12.007	81.0	82.178	1031.5	1031.468
2024-12-31T20:30:00Z	12.4	12.037	80.8	82.058	1031.55	1031.469
2024-12-31T20:40:00Z	12.3	12.028	81.0	82.008	1031.55	1031.532
2024-12-31T20:50:00Z	12.3	12.016	81.6	81.717	1031.55	1031.496
2024-12-31T21:00:00Z	12.3	12.145	81.6	81.532	1031.55	1031.564
2024-12-31T21:10:00Z	12.2	11.925	81.4	81.854	1031.55	1031.539
2024-12-31T21:20:00Z	12.1	11.982	81.6	82.543	1031.55	1031.541
2024-12-31T21:30:00Z	12.0	11.954	81.8	82.311	1031.6	1031.539
2024-12-31T21:40:00Z	11.8	11.803	82.6	82.167	1031.65	1031.523
2024-12-31T21:50:00Z	11.7	11.746	83.2	82.525	1031.7	1031.523
2024-12-31T22:00:00Z	11.7	11.661	83.6	82.683	1031.8	1031.604
2024-12-31T22:10:00Z	11.6	11.445	84.2	83.578	1031.85	1031.658
2024-12-31T22:20:00Z	11.3	11.421	84.6	83.935	1031.95	1031.72
2024-12-31T22:30:00Z	11.1	11.46	84.8	84.093	1031.95	1031.863
2024-12-31T22:40:00Z	10.9	11.315	85.0	84.638	1031.95	1031.887
2024-12-31T22:50:00Z	10.9	10.94	85.6	84.872	1031.95	1032.017
2024-12-31T23:00:00Z	10.8	10.8	85.8	85.046	1031.95	1031.954
2024-12-31T23:10:00Z	10.8	10.582	86.2	85.304	1031.95	1031.937
2024-12-31T23:20:00Z	10.6	10.668	86.2	85.994	1031.95	1031.911
2024-12-31T23:30:00Z	10.6	10.52	85.8	85.975	1031.9	1031.898
2024-12-31T23:40:00Z	10.6	10.596	85.0	86.428	1031.9	1031.876
2024-12-31T23:50:00Z	10.5	10.326	84.2	86.191	1031.9	1031.866
2025-01-01T00:00:00Z	10.6	10.431	82.6	85.67	1031.85	1031.774
2025-01-01T00:10:00Z	10.6	10.416	82.0	84.79	1031.85	1031.799
2025-01-01T00:20:00Z	10.6	10.288	82.4	84.073	1031.75	1031.808
2025-01-01T00:30:00Z	10.7	10.474	81.6	82.28	1031.7	1031.749
2025-01-01T00:40:00Z	10.7	10.39	81.2	82.208	1031.65	1031.775
2025-01-01T00:50:00Z	10.6	10.422	81.4	82.925	1031.55	1031.616
2025-01-01T01:00:00Z	10.7	10.585	82.0	81.741	1031.55	1031.591
2025-01-01T01:10:00Z	10.7	10.54	81.0	81.678	1031.6	1031.531
2025-01-01T01:20:00Z	10.6	10.388	80.4	81.944	1031.6	1031.395
2025-01-01T01:30:00Z	10.5	10.587	81.0	82.494	1031.55	1031.464
2025-01-01T01:40:00Z	10.3	10.553	81.2	80.827	1031.6	1031.548
2025-01-01T01:50:00Z	10.2	10.45	81.2	80.587	1031.6	1031.535
2025-01-01T02:00:00Z	10.1	10.358	81.8	81.524	1031.6	1031.467
2025-01-01T02:10:00Z	10.0	10.089	82.8	81.38	1031.55	1031.567
